epoch,train_loss,valid_loss,accuracy,error_rate,f_beta,f_beta,time
0,0.632051,0.630432,0.638109,0.361891,0.638055,0.638109
1,0.615352,0.603949,0.675935,0.324065,0.675784,0.675935
2,0.594239,0.614867,0.663066,0.336934,0.653450,0.663066
3,0.580180,0.584513,0.689252,0.310748,0.689144,0.689252
4,0.557617,0.601119,0.673123,0.326877,0.667553,0.673123
5,0.538228,0.587358,0.691021,0.308979,0.690590,0.691021
6,0.503116,0.605716,0.685508,0.314492,0.685508,0.685508
7,0.462035,0.627491,0.680759,0.319241,0.680605,0.680759
8,0.431236,0.668628,0.673794,0.326206,0.673698,0.673794
9,0.394904,0.694561,0.669752,0.330248,0.669478,0.669752
